Unnamed: 0,CoFactor,CoFactorC,DTT,Inhibitor,NTPs,Plasmid,Ppase,Spermidine,T7,Temperature,Time,Tris-Hcl,Eval,Concentration
47,MgCl2,59.96951515,10.0,2000,8.541606318,10,0,0.0,1000,20,300,6.5,0.0,0.136638004
48,MgAcetate,17.84193551,7.343844849,195,5.450229567,76,10,2.062423722,10836,43,261,6.715047776,8553.268,4.943735177
49,MgAcetate,51.85708855,7.38466331,2000,10.0,10,10,0.0,11881,43,300,6.5,772.071,0.570556399
50,MgAcetate,84.72824915,7.175622919,844,8.967009689,71,10,4.824378461,3251,43,202,7.168319223,0.0,0.136638004
51,MgAcetate,66.63438047,7.383113985,719,6.927669294,31,10,6.402318403,29560,43,292,7.367309797,0.0,0.136638004
52,MgAcetate,59.93743508,1.673239426,834,8.307581101,100,2,1.70421697,5173,37,277,7.478253256,16522.633,9.422667903
53,MgAcetate,59.91237301,8.529246792,885,8.562034113,14,9,1.964217516,30000,45,62,7.7062289,1185.062,0.802665093
54,MgAcetate,59.96196801,9.219066985,888,8.54643251,100,5,2.168997179,23310,38,85,6.60141693,7797.951,4.519232844
55,MgAcetate,59.99506697,7.823055199,927,8.793566869,87,4,2.414109052,22151,31,205,7.671303433,2177.014,1.360160737
56,MgCl2,60.00914126,2.223887077,922,8.6617989,79,3,2.357239836,28964,37,254,6.992680604,2583.881,1.588827629
57,MgAcetate,59.92334011,0.493412586,879,8.521829976,84,7,0.933208495,6956,30,290,6.538404455,1003.41,0.700573259
58,MgAcetate,67.59669277,5.033634302,1032,5.375018568,69,10,2.416523967,7159,44,263,7.331133108,575.485,0.460071376
59,MgAcetate,84.72824672,0.534696306,918,7.451079696,69,8,5.141051544,7340,35,299,7.560634605,635.623,0.493870061
60,MgAcetate,41.78813961,5.567399183,1217,9.888835362,89,5,2.241314266,6607,44,298,6.652412429,22735.615,12.91448041
61,MgAcetate,68.08644984,2.315167928,352,9.249219252,76,9,2.507551138,7291,44,138,7.162003143,2784.261,1.70144495
62,MgAcetate,61.92749698,3.841188055,1414,9.811614895,60,0,2.157846426,6880,44,53,7.312550646,1083.383,0.745519586
63,MgCl2,1.638431995,9.613773286,1250,8.857875907,72,4,2.654988762,7459,44,34,7.173826523,0.0,0.136638004
64,MgAcetate,43.11489903,9.584572204,259,8.986289224,96,2,2.621640414,7437,43,252,6.532375881,3577.282,2.147137638
65,MgAcetate,59.87101719,1.648751141,871,9.352675901,73,2,1.865263457,6712,42,82,7.571517867,2942.573,1.790419266
66,MgAcetate,59.8973079,10.0,852,3.452520517,14,7,2.299738998,6888,42,294,7.601012305,1902.685,1.20598269
67,MgAcetate,65.91445676,1.702058141,1719,9.53517233,74,6,1.823988069,6080,40,207,6.578538734,8064.007,4.668761311
68,MgAcetate,65.88949016,2.103596587,1853,7.842621871,47,0,7.992576006,5421,40,129,6.915325006,1743.876,1.116729051
69,MgAcetate,59.92875738,6.534675272,872,8.499860091,94,9,6.044860147,6646,42,106,7.844555931,2756.464,1.685822514
70,MgAcetate,60.03757312,1.956922217,773,8.568922976,65,2,0.0,6485,42,173,6.982284638,5818.557,3.40677626
71,MgAcetate,59.94920967,2.439610353,868,8.532832932,49,4,2.259346686,6854,42,142,7.048056962,7250.751,4.211696173
72,MgAcetate,60.03353971,6.083983893,794,8.524104975,44,1,4.661722967,8153,42,288,7.152985231,6269.369,3.660141067
73,MgAcetate,59.9755135,8.314504558,894,8.542431264,71,9,7.91730419,6902,37,288,6.840258648,2882.024,1.756389591
74,MgAcetate,59.92059062,7.980731528,625,8.540514144,49,7,7.375473488,7018,33,213,6.853086698,966.367,0.679754398
75,MgAcetate,60.17653454,7.706165902,1507,8.59911477,76,4,4.261902652,7709,42,114,6.862391989,7644.881,4.433204631
76,MgAcetate,60.35206691,7.670706593,1590,8.544339664,24,7,8.525581402,6463,40,116,6.869672892,1367.747,0.905337492
77,MgAcetate,60.31847038,9.029927876,831,8.566278726,96,5,2.170083318,6605,42,25,7.93196278,2656.824,1.629822964
78,MgAcetate,59.92387119,2.369495002,890,8.510239086,47,6,2.037228509,6689,42,119,7.659804226,2901.284,1.767214073
79,MgAcetate,39.81258513,7.439225954,367,7.38817538,39,4,1.130449563,13052,40,43,7.328097404,9669.997,5.571357837
